id,question,category,subcategory,intent,product_feature,response,related_articles,tags
0,How do I reset my password?,Account,Password Management,Password Recovery,Authentication & Security,"To reset your password, click on the 'Forgot Password' link on the login page. Enter your email address, and we'll send you instructions to create a new password.",https://help.example.com/account/reset-password,"password, reset, account access"
1,What payment methods do you accept?,Billing,Payment Options,Payment Information,Billing & Invoicing,"We accept major credit cards (Visa, MasterCard, American Express) and PayPal. For enterprise customers, we also offer invoicing options.",https://help.example.com/billing/payment-methods,"payment, credit card, PayPal"
2,Can I integrate your service with Salesforce?,Technical,Integrations,Integration Setup,API & Integrations,"Yes, we offer a Salesforce integration. You can find step-by-step instructions in our developer documentation. The process involves creating an API key and configuring the connection in your Salesforce account.",https://developers.example.com/integrations/salesforce,"Salesforce, integration, API"
3,How do I add a new user to my account?,Account,User Management,Add User,User Roles & Permissions,"To add a new user, go to 'Settings' > 'User Management' > 'Invite User'. Enter the email address of the new user and select their role. They'll receive an invitation to join your account.",https://help.example.com/account/adding-users,"add user, invite, user management"
4,What's included in the Enterprise plan?,General Inquiry,Pricing & Plans,Plan Information,Subscription Management,"Our Enterprise plan includes unlimited users, priority support, custom integrations, advanced analytics, and dedicated account management. For a full feature comparison, please visit our pricing page.",https://www.example.com/pricing,"Enterprise plan, pricing, features"
5,How secure is my data on your platform?,Technical,Security,Data Security Information,Authentication & Security,"We take data security seriously. We use bank-level encryption, regular security audits, and comply with SOC 2 and GDPR requirements. All data is encrypted at rest and in transit.",https://www.example.com/security,"security, encryption, compliance"
6,I'm being charged incorrectly. How do I dispute this?,Billing,Billing Issues,Billing Dispute,Billing & Invoicing,"We're sorry to hear about the incorrect charge. Please contact our billing support team at billing@example.com with your account details and the specific charge in question. We'll investigate and resolve the issue promptly.",https://help.example.com/billing/billing-disputes,"billing error, dispute, refund"
7,How do I export my data?,Technical,Data Management,Data Export,Reporting & Analytics,"To export your data, go to 'Reports' > 'Data Export'. Select the date range and type of data you want to export. Click 'Generate Export' and you'll receive an email when your export is ready for download.",https://help.example.com/features/data-export,"data export, reports, analytics"
8,What's your uptime guarantee?,General Inquiry,Service Level Agreement,SLA Information,System Status & Reliability,"We guarantee 99.9% uptime for our services. This is backed by our Service Level Agreement (SLA). In the event of any unscheduled downtime, we provide service credits as outlined in our SLA.",https://www.example.com/sla,"uptime, SLA, reliability"
9,How do I cancel my subscription?,Billing,Subscription Management,Cancel Subscription,Subscription Management,"To cancel your subscription, go to 'Settings' > 'Billing' > 'Subscription'. Click on 'Cancel Subscription' and follow the prompts. Please note that cancellation will be effective at the end of your current billing cycle.",https://help.example.com/billing/cancel-subscription,"cancel, subscription, account closure"
10,Can I change my plan?,Billing,Subscription Management,Change Plan,Subscription Management,"Yes, you can change your plan at any time. Go to 'Settings' > 'Billing' > 'Subscription' and click on 'Change Plan'. Select your desired plan and confirm. The changes will be prorated for your current billing cycle.",https://help.example.com/billing/change-plan,"upgrade, downgrade, subscription change"
11,How do I set up two-factor authentication?,Account,Security Settings,Enable 2FA,Authentication & Security,"To set up two-factor authentication, go to 'Settings' > 'Security' > 'Two-Factor Authentication'. Click 'Enable 2FA' and follow the setup wizard. You can choose between SMS or an authenticator app for the second factor.",https://help.example.com/account/two-factor-authentication,"2FA, security, authentication"
12,What APIs do you offer?,Technical,API,API Information,API & Integrations,"We offer RESTful APIs for most of our services, including data retrieval, user management, and reporting. Full documentation, including endpoints and example requests, can be found in our API documentation.",https://developers.example.com/api,"API, integration, development"
13,How often do you release updates?,General Inquiry,Product Information,Update Frequency,Product Roadmap,"We typically release minor updates weekly and major feature updates monthly. All updates are automatically applied to your account. You can find our release notes and upcoming features on our product updates page.",https://www.example.com/product-updates,"updates, releases, features"
14,I forgot my username. How can I recover it?,Account,Account Recovery,Username Recovery,Authentication & Security,"If you've forgotten your username, you can recover it by clicking 'Forgot Username' on the login page. Enter the email address associated with your account, and we'll send your username to that email.",https://help.example.com/account/forgot-username,"username, account recovery, login"
15,Do you offer a non-profit discount?,Billing,Pricing & Discounts,Discount Information,Billing & Invoicing,"Yes, we offer discounts for eligible non-profit organizations. Please contact our sales team at sales@example.com with your organization's details and proof of non-profit status. We'll review your application and get back to you with discount options.",https://www.example.com/non-profit,"non-profit, discount, pricing"
16,How do I set up email notifications?,Technical,Notifications,Configure Notifications,Notifications,"To set up email notifications, go to 'Settings' > 'Notifications'. You can choose which events trigger notifications and customize the frequency. Make sure to click 'Save Changes' after making your selections.",https://help.example.com/features/notifications,"notifications, email, alerts"
17,What's your data retention policy?,General Inquiry,Privacy & Compliance,Data Retention Information,Data Management,"We retain user data for the duration of your active subscription plus 30 days after account closure. After this period, data is permanently deleted from our systems. You can request earlier deletion by contacting our support team.",https://www.example.com/privacy-policy,"data retention, privacy, GDPR"
18,How do I generate an API key?,Technical,API,Generate API Key,API & Integrations,"To generate an API key, go to 'Settings' > 'API & Integrations' > 'API Keys'. Click 'Generate New Key', give it a name, and select the appropriate permissions. Remember to copy the key immediately, as it won't be displayed again.",https://developers.example.com/api/authentication,"API key, integration, security"
19,Can I get an invoice for my subscription?,Billing,Invoicing,Request Invoice,Billing & Invoicing,"Yes, you can access and download invoices for your subscription. Go to 'Settings' > 'Billing' > 'Invoices'. Here you'll find a list of all your invoices, which you can view or download as PDFs.",https://help.example.com/billing/invoices,"invoice, billing, payment"
20,How do I create a custom report?,Technical,Reporting,Custom Report Creation,Reporting & Analytics,"To create a custom report, go to 'Reports' > 'Custom Reports' > 'New Report'. Choose your data sources, select the metrics and dimensions you want to include, and set any filters. You can then save and schedule the report as needed.",https://help.example.com/features/custom-reports,"reports, analytics, custom"
21,What's your refund policy?,Billing,Refunds,Refund Information,Billing & Invoicing,"Our refund policy allows for a full refund within the first 14 days of a new subscription. After this period, refunds are generally not provided for subscription fees. For specific cases, please contact our billing support team.",https://www.example.com/refund-policy,"refund, billing, cancellation"
22,How do I set up SSO (Single Sign-On)?,Account,Authentication,SSO Setup,Authentication & Security,"SSO setup is available for Enterprise plans. To configure SSO, go to 'Settings' > 'Security' > 'Single Sign-On'. Choose your identity provider (e.g., Okta, Azure AD) and follow the setup instructions. Contact support if you need assistance.",https://help.example.com/account/sso-setup,"SSO, authentication, enterprise"
23,Can I white-label your product?,General Inquiry,Customization,White-labeling Information,Branding & Customization,"White-labeling is available for Enterprise customers. It allows you to customize the interface with your logo and colors. To explore this option, please contact your account manager or our sales team for details and pricing.",https://www.example.com/enterprise-features,"white-label, branding, customization"
24,How do I track user activity in my account?,Technical,Audit Logs,User Activity Tracking,Reporting & Analytics,"To track user activity, go to 'Reports' > 'Audit Logs'. Here you can view a detailed log of user actions, including logins, changes to settings, and data access. You can filter by user, action type, and date range.",https://help.example.com/features/audit-logs,"audit, user activity, security"
25,How do I set up a team workspace?,Account,Workspace Management,Create Workspace,Collaboration Tools,"To set up a team workspace, go to 'Settings' > 'Workspaces' > 'Create New Workspace'. Name your workspace, add team members, and set permissions. You can then customize the workspace with relevant projects and tools.",https://help.example.com/workspaces/setup,"workspace, team, collaboration"
26,What's the difference between Basic and Pro plans?,General Inquiry,Pricing & Plans,Plan Comparison,Subscription Management,"The main differences are: Pro offers more storage, advanced analytics, priority support, and additional integrations. Basic is suitable for individuals or small teams, while Pro is designed for growing businesses. You can find a detailed comparison on our pricing page.",https://www.example.com/pricing/compare,"plans, pricing, features"
27,How do I troubleshoot slow performance?,Technical,Troubleshooting,Performance Optimization,System Status & Reliability,"To troubleshoot slow performance: 1) Check your internet connection, 2) Clear your browser cache, 3) Ensure you're using a supported browser version, 4) Check our status page for any ongoing issues. If problems persist, contact our support team with details about the issue.",https://help.example.com/troubleshooting/performance,"performance, speed, troubleshooting"
28,Can I get a discount for annual billing?,Billing,Pricing & Discounts,Billing Discount,Billing & Invoicing,"Yes, we offer a 10% discount for annual billing on all our plans. To switch to annual billing, go to 'Settings' > 'Billing' > 'Billing Cycle' and select 'Annual'. The discount will be applied to your next billing cycle.",https://help.example.com/billing/annual-discount,"discount, annual billing, pricing"
29,How do I add custom fields to my forms?,Technical,Customization,Form Customization,Forms & Data Collection,"To add custom fields, go to 'Forms' > 'Edit Form' > 'Add Field'. Choose the field type (text, dropdown, etc.), set the field properties, and click 'Save'. You can then drag and drop to position the new field within your form.",https://help.example.com/features/custom-fields,"forms, customization, fields"
30,What happens to my data if I cancel my subscription?,Account,Data Management,Data Retention,Data Management,"If you cancel your subscription, your data remains accessible for 30 days, during which you can export it. After 30 days, the data is permanently deleted from our systems. We recommend exporting your data before cancelling if you wish to retain it.",https://help.example.com/account/data-retention,"cancellation, data, export"
31,How do I set up automated reports?,Technical,Reporting,Report Automation,Reporting & Analytics,"To set up automated reports, go to 'Reports' > 'Scheduled Reports' > 'Create Schedule'. Choose the report type, set the frequency (daily, weekly, monthly), specify recipients, and select the delivery method (email, Slack, etc.). Click 'Save' to activate.",https://help.example.com/features/automated-reports,"reports, automation, analytics"
32,Do you offer a trial period?,General Inquiry,Pricing & Plans,Trial Information,Subscription Management,"Yes, we offer a 14-day free trial for all our plans. You can sign up for the trial on our website without entering credit card information. If you decide to continue, you can upgrade to a paid plan at any time during or after the trial.",https://www.example.com/free-trial,"trial, free, pricing"
33,How do I update my billing information?,Billing,Payment Management,Update Payment Info,Billing & Invoicing,"To update your billing information, go to 'Settings' > 'Billing' > 'Payment Methods'. Click 'Edit' next to your current method or 'Add New Method' to enter new card details. Make sure to click 'Save Changes' when you're done.",https://help.example.com/billing/update-payment,"billing, payment, credit card"
34,Can I use your API with Python?,Technical,API,API Usage,API & Integrations,"Yes, our API can be used with Python. We provide a Python SDK that simplifies API interactions. You can find installation instructions, code examples, and full documentation in our Developer Center. Make sure to use Python 3.6 or later for compatibility.",https://developers.example.com/python-sdk,"API, Python, integration"
35,How do I set user permissions?,Account,User Management,Manage Permissions,User Roles & Permissions,"To set user permissions, go to 'Settings' > 'User Management' > 'Roles & Permissions'. You can either assign users to predefined roles or create custom roles with specific permissions. Click on a user to modify their individual permissions.",https://help.example.com/account/user-permissions,"permissions, roles, user management"
36,What's your GDPR compliance status?,General Inquiry,Privacy & Compliance,Compliance Information,Data Management,"We are fully GDPR compliant. We've implemented necessary measures including data encryption, user consent management, and data portability. Our Data Processing Agreement (DPA) outlines our commitments. For specific queries, contact our Data Protection Officer.",https://www.example.com/gdpr-compliance,"GDPR, compliance, privacy"
37,How do I connect to my database?,Technical,Integrations,Database Connection,Data Management,"To connect your database, go to 'Settings' > 'Integrations' > 'Databases'. Click 'Add New Connection', select your database type, and enter the connection details (host, port, credentials). Test the connection before saving. Ensure your firewall allows our IP.",https://help.example.com/integrations/database-connection,"database, integration, connection"
38,Can I change my billing cycle?,Billing,Subscription Management,Change Billing Cycle,Billing & Invoicing,"Yes, you can change your billing cycle. Go to 'Settings' > 'Billing' > 'Billing Cycle'. You can switch between monthly and annual billing. If switching to annual, you'll receive a prorated credit for the remainder of your current month.",https://help.example.com/billing/change-cycle,"billing cycle, subscription, annual"
39,How do I set up email templates?,Technical,Customization,Email Template Setup,Notifications,"To set up email templates, navigate to 'Settings' > 'Communications' > 'Email Templates'. Click 'Create New Template', design your template using our WYSIWYG editor or HTML, and save. You can then use these templates in automated emails or campaigns.",https://help.example.com/features/email-templates,"email, templates, customization"
40,What's your data backup policy?,General Inquiry,Security,Backup Information,Data Management,"We perform daily backups of all customer data, which are encrypted and stored in geographically distributed locations. We retain daily backups for 30 days and monthly backups for 12 months. Backups are tested regularly to ensure data integrity and recoverability.",https://www.example.com/security/data-backup,"backup, data, security"
41,How do I generate an API token?,Technical,API,Generate API Token,API & Integrations,"To generate an API token, go to 'Settings' > 'API & Integrations' > 'API Tokens'. Click 'Generate New Token', give it a name and set the expiration. Copy the token immediately as it won't be displayed again. Remember to keep your tokens secure.",https://developers.example.com/api/authentication,"API, token, security"
42,Do you offer phone support?,General Inquiry,Support Options,Support Information,Customer Support,"Phone support is available for Enterprise plan customers. If you're on an Enterprise plan, you can find your dedicated support number in 'Settings' > 'Support'. For other plans, we offer email and chat support with competitive response times.",https://help.example.com/support/contact-options,"support, phone, enterprise"
43,How do I set up multi-factor authentication?,Account,Security Settings,Enable MFA,Authentication & Security,"To set up multi-factor authentication, go to 'Settings' > 'Security' > 'Multi-Factor Authentication'. Click 'Enable MFA', choose your preferred method (app, SMS, or security key), and follow the setup wizard. We recommend using an authenticator app for best security.",https://help.example.com/account/multi-factor-authentication,"MFA, security, authentication"
